source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,latitude,longitude
18656931,PAK,cement,1-1-2021,12-31-2021,Yearly,co2,3.006752e+06,0.82979887,T of CO2 per T of cement,8e+06,T of cement,0.45416666666666666,313242,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2021,12-31-2021,Yearly,ch4,,,field_not_modeled,8e+06,T of cement,0.45416666666666666,313242,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2021,12-31-2021,Yearly,co2e_20yr,3.006752e+06,,,8e+06,T of cement,0.45416666666666666,313242,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2021,12-31-2021,Yearly,co2e_100yr,3.006752e+06,,,8e+06,T of cement,0.45416666666666666,313242,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2022,12-31-2022,Yearly,n2o,,,field_not_modeled,8e+06,T of cement,0.45250000000000007,313667,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2022,12-31-2022,Yearly,co2,3.01245e+06,0.82979887,T of CO2 per T of cement,8e+06,T of cement,0.45250000000000007,313667,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,8e+06,T of cement,0.45250000000000007,313667,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2022,12-31-2022,Yearly,co2e_20yr,3.01245e+06,,,8e+06,T of cement,0.45250000000000007,313667,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2022,12-31-2022,Yearly,co2e_100yr,3.01245e+06,,,8e+06,T of cement,0.45250000000000007,313667,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2023,12-31-2023,Yearly,n2o,,,field_not_modeled,8e+06,T of cement,0.45,300724,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2023,12-31-2023,Yearly,co2,748620,0.82979887,T of CO2 per T of cement,8e+06,T of cement,0.45,300724,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2023,12-31-2023,Yearly,ch4,,,field_not_modeled,8e+06,T of cement,0.45,300724,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2023,12-31-2023,Yearly,co2e_20yr,748620,,,8e+06,T of cement,0.45,300724,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656931,PAK,cement,1-1-2023,12-31-2023,Yearly,co2e_100yr,748620,,,8e+06,T of cement,0.45,300724,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
18656923,PAK,cement,1-1-2021,12-31-2021,Yearly,n2o,,,field_not_modeled,3.43e+06,T of cement,1,285833,T of cement,,,Attock cement plant (0014),Dry,33.690512,72.713367
18656923,PAK,cement,1-1-2021,12-31-2021,Yearly,co2,2.84615e+06,0.82979887,T of CO2 per T of cement,3.43e+06,T of cement,1,285833,T of cement,,,Attock cement plant (0014),Dry,33.690512,72.713367
18656923,PAK,cement,1-1-2021,12-31-2021,Yearly,ch4,,,field_not_modeled,3.43e+06,T of cement,1,285833,T of cement,,,Attock cement plant (0014),Dry,33.690512,72.713367
18656923,PAK,cement,1-1-2021,12-31-2021,Yearly,co2e_20yr,2.84615e+06,,,3.43e+06,T of cement,1,285833,T of cement,,,Attock cement plant (0014),Dry,33.690512,72.713367
18656923,PAK,cement,1-1-2021,12-31-2021,Yearly,co2e_100yr,2.84615e+06,,,3.43e+06,T of cement,1,285833,T of cement,,,Attock cement plant (0014),Dry,33.690512,72.713367
18656923,PAK,cement,1-1-2022,12-31-2022,Yearly,n2o,,,field_not_modeled,3.43e+06,T of cement,1,285832,T of cement,,,Attock cement plant (0014),Dry,33.690512,72.713367
18656923,PAK,cement,1-1-2022,12-31-2022,Yearly,co2,2.846148e+06,0.82979887,T of CO2 per T of cement,3.43e+06,T of cement,1,285832,T of cement,,,Attock cement plant (0014),Dry,33.690512,72.713367
18656923,PAK,cement,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,3.43e+06,T of cement,1,285832,T of cement,,,Attock cement plant (0014),Dry,33.690512,72.713367
